카테고리,상품명,제조사,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
두부,생채움 국산콩두부 찌개용,㈜에스엔푸드,85,1.0,8.0,6.0,10.0
두부,산미르 검은깨 두부의미,알찬식품,70,4.0,6.0,3.2,25.0
두부,한둘 쫄깃 생두부스파게티,농업회사법인한둘푸드주식회사,154,34.59,2.43,0.71,92.0
두부,두부오코노미야끼 세트,(주)현대그린푸드스마트푸드센터,157,10.5,12.26,7.27,163.0
두부,두부추비빔 세트,(주)현대그린푸드 스마트푸드센터,122,6.57,10.14,6.16,249.0
두부,포케올데이 불고기 두부볼,(주)맛과벗,154,13.85,12.31,5.64,354.0
두부,행복한콩 두부볼(냉동용),씨제이씨푸드 주식회사,244,7.0,9.0,20.0,500.0
치즈,미니 파운드 케익 딸기&크림치즈,태양이엔에스(주),170,18.0,2.0,10.0,0.0
치즈,크림치즈필링,맛있는이야기,315,25.0,0.0,24.0,106.0
치즈,떠먹는 크림치즈,주식회사세인유업,246,13.93,5.19,18.89,197.0
치즈,크림치즈 머핀,(주)성진에프에스,293,30.0,5.46,17.27,260.0
치즈,스테이크앤치즈파이,해당없음,238,22.9,8.0,12.7,308.0
치즈,모짜렐라 빅 치즈볼,주식회사SL푸드원,355,45.0,8.0,16.0,353.0
치즈,콘치즈바비큐치킨,주식회사베지스타,204,10.91,9.8,13.36,396.0
치즈,황치즈 크림푸딩,주식회사케이크로,372,34.0,5.0,24.0,428.0
치즈,마요롤치즈빵,신화베이커리,271,32.0,12.0,10.0,465.0
치즈,모짜렐라치즈 II,(주)동원에프앤비강진공장,310,2.0,21.0,24.0,500.0
그릭요거트,유당제로 시그니처 그릭요거트,주식회사 강훈농업회사법인,175,9.0,8.0,15.0,5.0
그릭요거트,강훈목장 수제 그릭요거트 마일드,주식회사강훈농업회사법인,175,5.0,9.0,13.0,25.0
그릭요거트,그릭타임 스트로베리 그릭요거트,(주)쿠오레디파파,175,12.73,9.4,9.65,29.0
그릭요거트,Queen그릭 그릭요거트,파인드,137,8.78,9.34,7.2,31.0
그릭요거트,쌍도커피 블루베리 그릭요거트,램프에프앤비,190,14.0,9.0,11.0,35.0
그릭요거트,마시는 그릭요거트 블루베리,주식회사우리에프엔비,90,14.0,6.0,1.65,38.0
그릭요거트,바른그릭 오레오 그릭요거트,램프에프앤비,185,9.0,11.0,12.0,45.0
그릭요거트,오리지널 그릭요거트 플레인,주식회사 팜프레쉬,100,6.54,4.25,6.33,50.0
그릭요거트,틴요거트짜먹는프로틴그릭요거트딸기,데어리프로포즈,120,15.56,11.11,3.33,71.0
그릭요거트,그릭요거트 쌀 식빵,주식회사케익모아,299,43.63,13.72,8.45,433.0
